Date,Open,High,Low,Close,Volume,Adj Close
2016-05-16,92.389999,94.389999,91.650002,93.879997,61140600,93.879997
2016-05-13,90.00,91.669998,90.00,90.519997,44188200,90.519997
2016-05-12,92.720001,92.779999,89.470001,90.339996,76109800,90.339996
2016-05-11,93.480003,93.57,92.459999,92.510002,28539900,92.510002
2016-05-10,93.330002,93.57,92.110001,93.419998,33592500,93.419998
2016-05-09,93.00,93.769997,92.589996,92.790001,32855300,92.790001
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,92.720001
2016-05-05,94.00,94.07,92.68,93.239998,35890500,93.239998
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,93.620002
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,94.604009
2016-05-02,93.970001,94.080002,92.400002,93.639999,48160100,93.073328
2016-04-29,93.989998,94.720001,92.510002,93.739998,68531500,93.172721
2016-04-28,97.610001,97.879997,94.25,94.830002,82242700,94.256129
2016-04-27,96.00,98.709999,95.68,97.82,114602100,97.228032
2016-04-26,103.910004,105.300003,103.910004,104.349998,56016200,103.718514
2016-04-25,105.00,105.650002,104.510002,105.080002,28031600,104.4441
2016-04-22,105.010002,106.480003,104.620003,105.68,33683100,105.040467
2016-04-21,106.93,106.93,105.519997,105.970001,31552500,105.328713
2016-04-20,106.639999,108.089996,106.059998,107.129997,30611000,106.481689
2016-04-19,107.879997,108.00,106.230003,106.910004,32384900,106.263027
2016-04-18,108.889999,108.949997,106.940002,107.480003,60821500,106.829577
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,109.18523
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,111.421614
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,111.36198
2016-04-12,109.339996,110.50,108.660004,110.440002,27232300,109.771664
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,108.360251
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,108.002437
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,107.88316
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,110.288514
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,109.145471
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,110.447549
2016-04-01,108.779999,110.00,108.199997,109.989998,25874000,109.324382
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,108.330434
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,108.896984
2016-03-29,104.889999,107.790001,104.879997,107.68,31190100,107.028364
2016-03-28,106.00,106.190002,105.059998,105.190002,19411400,104.553435
2016-03-24,105.470001,106.25,104.889999,105.669998,26133000,105.030526
2016-03-23,106.480003,107.07,105.900002,106.129997,25703500,105.487741
2016-03-22,105.25,107.290001,105.209999,106.720001,32444400,106.074174
2016-03-21,105.93,107.650002,105.139999,105.910004,35502700,105.269079
2016-03-18,106.339996,106.50,105.190002,105.919998,44205200,105.279013
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,105.159744
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,105.328713
2016-03-15,103.959999,105.18,103.849998,104.580002,40067700,103.947125
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,101.899587
2016-03-11,102.239998,102.279999,101.50,102.260002,27408200,101.641166
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,100.557758
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,100.508065
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,100.418606
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,101.253526
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,102.386627
